vocabulary;variant_of;meaning;language;about_ethnicity;about_nationality;about_religion;about_gender;about_sexual_orientation;about_disability;about_class;archaic
cholo;;"[1] In Latin America, a person of perceived Amerindian or African slave descent. Peruvian president Alejandro Toledo was nicknamed 'el Cholo'. [2] In the USA or Brazil, a person of perceived Mestizo descent, especially a teenager or young person in the lowrider subculture. It may be derogatory depending on circumstances.";spa;1;0;0;0;0;0;0;0
chon;;"A Korean.";jpn;1;1;0;0;0;0;0;0
"chon koh";chon;"A Korean.";jpn;1;1;0;0;0;0;0;0
chonky;;"A person of Asian descent with perceived Caucasian mannerisms. Concatenation of Chinese and honky.";eng;1;1;0;0;0;0;0;0
choochter;teuchter;"A person from the north of Scotland or rural Scottish areas.";sco;1;1;0;0;0;0;0;0
chorik;;"Kalenjin slur for a member of the Kikuyu community, meaning 'thief'.";kln;1;0;0;0;0;0;0;0
chosenjin;;"A Korean.";jpn;1;1;0;0;0;0;0;0
"Christ killer";;"A Jew, an allusion to Jewish deicide. On occasion it can also be used as an anti-Italian slur on the basis the Romans, as ancestors of the present-day Italians, executed Jesus.";eng;1;0;1;0;0;0;0;0
chuchter;teuchter;"A person from the north of Scotland or rural Scottish areas.";sco;1;1;0;0;0;0;0;0
chug;;"[1] An individual of Canadian aboriginal descent. [2] A Native American, from assumed likelihood of alcoholism.";eng;1;0;0;0;0;0;0;0
chunky;chonky;"A person of Asian descent with perceived Caucasian mannerisms. Concatenation of Chinese and honky.";eng;1;1;0;0;0;0;0;0
chupta;chapta;"A person of Asian descent";urd;1;0;0;0;0;0;0;0
ciapak;ciapata;"A person from Pakistan or India named after traditional bread (chapati). This term is common among Polish immigrants in the UK";pol;1;1;0;0;0;0;0;0
ciapata;;"A person from Pakistan or India named after traditional bread (chapati). This term is common among Polish immigrants in the UK";pol;1;1;0;0;0;0;0;0
ciapaty;ciapata;"A person from Pakistan or India named after traditional bread (chapati). This term is common among Polish immigrants in the UK";pol;1;1;0;0;0;0;0;0
Cioara;;"pejorative term used for Romanian Roma";ron;1;0;0;0;0;0;0;0
"cis male";;"Literally defined as a non-transgendered male, frequent usage of the term as a contemptuous and dismissive epithet has been noticed among elements of the LGBT community.";eng;0;0;0;1;1;0;0;1
clam;clamhead;"A Scientologist, referring to a passage about clam engrams in L. Ron Hubbard's 1952 book, What To Audit, later renamed The History Of Man";eng;0;0;1;0;0;0;0;0
clamhead;;"A Scientologist, referring to a passage about clam engrams in L. Ron Hubbard's 1952 book, What To Audit, later renamed The History Of Man";eng;0;0;1;0;0;0;0;0
cocoa;;"A black person.";eng;1;0;0;0;0;0;0;0
"Cocoa Puff";cocoa;"A black person.";eng;1;0;0;0;0;0;0;0
cocolo;;"[1] In the Caribbean, a non-Hispanic person of African origins. [2] In Spanish-speaking countries, a person from English or French areas of the Caribbean. [2] A follower of Afro-Latino music.";spa;1;0;0;0;0;0;0;0
coconut;;"[1] A person of Hispanic descent who's accused of acting white. [2] In, New Zealand/Australia, a Pacific Islander. Named after the coconut, the nut from the coconut palm. [3], In the UK, a black person who exhibits behaviour associated with caucasians. [4] In the USA, a black person trying to be 'white'. [5] In South Africa, a black person who acts white. [6], In Canada, an individual of South Asian (typically Dravidian) descent, who is accused of trying to be 'white'.";eng;1;0;0;0;0;0;0;0
colored;;"A black person.";eng;1;0;0;0;0;0;0;0
coloured;colored;"A black person.";eng;1;0;0;0;0;0;0;0
"conspiracy theorist";;"One who questions state doctrine";eng;0;0;0;0;0;0;1;0
coolie;;"[1] In North America, unskilled Asian labor, usually Chinese (originally used in 19th-century for Chinese railroad labor). Possibly from Hindi kuli, day laborer. [2] Racial epithet for Indo-Caribbean people, especially in Guyana, Trinidad and Tobago and South African Indians.";eng;1;0;0;0;0;0;0;0
coon;;"A black person. Possibly from Portuguese barracco, a building constructed to hold slaves for sale (1837). Popularized by the song 'Zip Coon', played at Minstrel shows in the 1830s.";eng;1;0;0;0;0;0;0;0
"coon ass";;"A person of Cajun ethnicity.";eng;1;0;0;0;0;0;0;0
"cotton picker";;"Originates from pre-Civil War US. Refers to the slaves who picked cotton all day at the plantations.";eng;1;0;0;0;0;0;0;1
"cow kisser";;"A person of Indian descent, from the worship of cows.";eng;1;1;0;0;0;0;0;0
"cowboy killer";;"A Native American.";eng;1;0;0;0;0;0;0;0
cracker;;"A poor Appalachian or poor Southerner, a white person, first used in the 19th century.";eng;1;0;0;0;0;0;1;0
cripple;;"A disabled person.";eng;0;0;0;0;0;1;0;0
crow;;"A black person, particularly a black woman.";eng;1;0;0;0;0;0;0;1
crucco;;"A person of German descent, from 'pighead'.";ita;0;1;0;0;0;0;0;0
"culona inchiavabile";;"Culona is a woman with a large backside. Inchiavabile is an unacceptable sex partnet.";ita;0;0;0;1;0;0;0;0
cultuurverrijker;;"Immigrant ethnic minority or its members, especially Moroccans. Cynical term, literally ""culture-enricher"".";nld;1;0;0;0;0;0;0;0
cunt;;"[1] Comparing someone (usually Male) to female genitalia. A variant of ""pussy"", but generally regarded as far more offensive. [2] A despicable man (Australian English). Has a wide variety of usages and meaning across the English world. For instance, in Commonwealth Countries such as Britain, Australia or New Zealand it can be, and often is, used to refer positively to someone, while in Canada it is widely seen to be highly offensive.";eng;0;0;0;1;0;0;0;0
"curry muncher";;"A person of East Indian origin.";eng;1;0;0;0;0;0;0;0
"curry slurper";"curry muncher";"A person of East Indian origin.";eng;1;0;0;0;0;0;0;0
"curry stinker";"curry muncher";"A person of East Indian origin.";eng;1;0;0;0;0;0;0;0
Cushi;Cushite;"[1] A person of east African descent, from Cush (modern day Ethiopia or Sudan). [2] Any black African.";eng;1;0;0;0;0;0;0;0
Cushite;;"[1] A person of east African descent, from Cush (modern day Ethiopia or Sudan). [2] Any black African.";eng;1;0;0;0;0;0;0;0
dago;;"An Italian, Spaniard or Portuguese person, possibly derived from the Spanish name, 'Diego,' a corruption of the title Hidalgo (member of the Gentry, from Spanish > hijo de algo 'son of someone [important]' or the Sardinian language first person pronoun, dego)t.";eng;1;0;0;0;0;0;0;0
dambaya;;"A person of Indian nationality (living in India). This term is used mostly by office workers of Sri Lanka, who also interact with Indians, also by Sri Lankan diaspora living abroad. Derivative from the word 'Dambadiva', which is used to refer to ancient India.";sin;0;1;0;0;0;0;0;0
darkey;darky;"A black person. The term may cause offense. though Randall Kennedy's Nigger: The Strange Career of a Troublesome Word notes that some judges have considered 'darky' a 'term of endearment.' In South Africa, it can be considered offensive (depending on the context), but is commonly used among black people to refer to other black people in a non-derogatory way.";eng;1;0;0;0;0;0;0;0
darkie;darky;"A black person. The term may cause offense. though Randall Kennedy's Nigger: The Strange Career of a Troublesome Word notes that some judges have considered 'darky' a 'term of endearment.' In South Africa, it can be considered offensive (depending on the context), but is commonly used among black people to refer to other black people in a non-derogatory way.";eng;1;0;0;0;0;0;0;0
darky;;"A black person. The term may cause offense. though Randall Kennedy's Nigger: The Strange Career of a Troublesome Word notes that some judges have considered 'darky' a 'term of endearment.' In South Africa, it can be considered offensive (depending on the context), but is commonly used among black people to refer to other black people in a non-derogatory way.";eng;1;0;0;0;0;0;0;0
"ddang kong";;"Korean slur for a Vietnamese person, from 'peanut'";kor;1;1;0;0;0;0;0;0
dego;dago;"An Italian, Spaniard or Portuguese person, possibly derived from the Spanish name, 'Diego,' a corruption of the title Hidalgo (member of the Gentry, from Spanish > hijo de algo 'son of someone [important]' or the Sardinian language first person pronoun, dego)t.";eng;1;0;0;0;0;0;0;0
demala;;"Used by the Sinhala majority to refer to a person of Tamil origin. Even though the proper Sinhala noun to refer a Tamil ethic group is Demala, when used in this sense it is regarded as disrespectful.";sin;1;0;0;0;0;0;0;0
dhimmi;;"Used by opponents of Islamisation and Muslim immigration to denote those who in their eyes facilitate it, with connotation of 'traitor'. Used in several languages in that sense, but originally an Islamic term referring to Jewish and Christian minorities.";eng;0;0;0;0;0;0;0;0
"diaper head";raghead;"An Arab, Indian Sikh or other individual of Middle Eastern or South Asian descent wearing traditional headdress such as turbans or keffiyehs. Sometimes used generically for all Islamic nations.";eng;1;0;0;0;0;0;0;0
dinge;;"A black person. Used in the novel 'To Kill a Mockingbird'.";eng;1;0;0;0;0;0;0;0
"dingo fucker";;"An Australian";eng;0;1;0;0;0;0;0;0
dink;;"[1] An Asian. [2] A Vietnamese person. [3] A North Vietnamese soldier or guerrilla in the Vietnam War.";eng;1;1;0;0;0;0;0;1
disminuidos;;Disabled;spa;0;0;0;0;0;1;0;0
ditsoon;tizzone;"Italian term for a black person, from 'burnt' or 'ember'";ita;1;0;0;0;0;0;0;0
dogan;;"In Canada, an Irish Catholic [19th century on; origin uncertain: perhaps from Dugan, an Irish surname].";eng;0;1;1;0;0;0;0;0
dogun;dogan;"In Canada, an Irish Catholic [19th century on; origin uncertain: perhaps from Dugan, an Irish surname].";eng;0;1;1;0;0;0;0;0
"dole bludger";bludger;"[1] A shiftless or unemployed person. [2] A pimp.";eng;0;0;0;0;0;0;1;0
domes;;"Hispanic word for a person from the Dominican Republic, possibly from the Washington Heights area of New York City.";eng;1;1;0;0;0;0;0;0
doryphore;;"Doryphore means Colorado potato beetle in French. This term was used during World War II, but is less common than Boche, Fritz or Frisés. It refers to the fact that the Germans during the Occupation took large part of the production of France's agriculture and industry.";fra;0;1;0;0;0;0;0;1
doss;;"[1] A religious jewish man. [2] An ultra-orthodox jewish man, who live separately from the rest of the israeli society.";heb;0;0;1;0;0;0;0;0
"dot head";;"A person of Indian descent, from the caste-mark (dot) on an Indian's forehead.";eng;1;1;0;0;0;0;0;0
"dune coon";"sand nigger";"A person of Arab descent.";eng;1;0;0;0;0;0;0;0
"dune nigger";"sand nigger";"A person of Arab descent.";eng;1;0;0;0;0;0;0;0
dyke;;"A lesbian.";eng;0;0;0;1;1;0;0;0
"dyke jumper";;"A person of Dutch origin.";eng;0;1;0;0;0;0;0;0
egg;;"Denotes white males who identify with East Asian culture, and are thus 'white on the outside and yellow on the inside'.";eng;1;0;0;0;0;0;0;0
eggplant;;"A black person.";eng;1;0;0;0;0;0;0;0
"eh hole";;"A Canadian. Variation on the ubiquitous 'eh' and the word 'asshole'.";eng;0;1;0;0;0;0;0;0
"eight ball";;"A black person.";eng;1;0;0;0;0;0;0;0
"el abeed";abeed;"Arabic slur for a black person, from 'slave'";ara;1;0;0;0;0;0;0;0
emoit;;"Turkana slur for members of the Pokot ethnic community, from 'cattle thief'.";tuv;1;0;0;0;0;0;0;0
escuaca;;"Derogatory for Hugo Chávez opponents";spa;0;0;0;0;0;0;0;0
eurotrash;;"A European.";eng;1;0;0;0;0;0;0;0
eyetie;;"An Italian person. Originated through the mispronunciation of 'Italian' as 'Eye-talian.'";eng;1;1;0;0;0;0;0;0
fag;;"A homosexual.";eng;0;0;0;0;1;0;0;0
faggot;fag;"A homosexual.";eng;0;0;0;0;1;0;0;0
Fairy;;"A Homosexual";eng;0;0;0;0;1;0;0;0
falang;farang;"A non-Thai person.";tha;1;1;0;0;0;0;0;0
"Fan Kuei";;"A Caucasian. Chinese for 'ocean ghosts', denoting skin color.";zho;1;0;0;0;0;0;0;0
fanook;;"Italian term for one who is homosexual, or seems homosexual.";ita;0;0;0;0;1;0;0;0
farang;;"A non-Thai person.";tha;1;1;0;0;0;0;0;0
faranji;;"Literally means ""foreigner"" but predominantly used in Ethiopia to refer to white people. Very common since white people are still a curiosity in most parts of the country and usually not intended to be offensive but sometimes used in a pejorative manner. Similar to the usage of ""mzungu"" in Swahili.";amh;1;0;0;0;0;0;0;0
fashisty;;"A person of German descent.";rus;0;1;0;0;0;0;0;0
fenucca;fanook;"Italian term for one who is homosexual, or seems homosexual.";ita;0;0;0;0;1;0;0;0
fez;;"An Arab, from the Turkish hat.";eng;1;0;0;0;0;0;0;0
Ficker;;"fucker, i.e. a male person having sex by entering someone/something with his penis";deu;0;0;0;0;1;0;0;0
"filhos da terra";;"In São Tomé and Príncipe, refers to descendants of Portuguese colonists and African slaves. Translates as ""children of the land"".";por;1;0;0;0;0;0;0;0
Fin;;"Moroccan. Cynical usage, implying that the real name may not be used, e.g, in crime reports.";nld;1;0;0;0;0;0;0;0
finook;fanook;"Italian term for one who is homosexual, or seems homosexual.";ita;0;0;0;0;1;0;0;0
firangi;;"A European.";ara;1;0;0;0;0;0;0;0
FOB;"fresh off the boat";"A person of foreign nationality.";eng;0;1;0;0;0;0;0;0
"fog nigger";;"A black person of British nationality.";eng;1;1;0;0;0;0;0;0
Fotze;;"[1] vagina, [2] female person";deu;0;0;0;1;0;0;0;0
"four by two";;"A Jewish person. Four-by-two is Cockney rhyming slang for Jew.";eng;1;0;1;0;0;0;0;0
"fresh off the boat";;"A person of foreign nationality.";eng;0;1;0;0;0;0;0;0
frits;;"A person of German descent.";bul;0;1;0;0;0;0;0;0
fritsove;frits;"A person of German descent.";bul;0;1;0;0;0;0;0;1
Fritz;;"A person of German descent.";deu;0;1;0;0;0;0;0;1
frog;;"A French person. Prior to 19th century, referred to the Dutch (as they were stereotyped as being marsh-dwellers). When France became Britain's main enemy, replacing the Dutch, the epithet transferred to them, due to the French recipe for eating frogs' legs (see comparable French term Rosbif). Also used in Canada to refer to both the French and French Canadians, and occasionally incorrectly as more broadly to people from Quebec who are not, in fact, necessarily French or French speaking.";eng;1;0;0;0;0;0;0;0
Froschschenkelfresser;;"[1] someone animalistically eating frog legs [2] a person from France";deu;0;1;0;0;0;0;0;0
fruit;;"A homosexual.";eng;0;0;0;0;1;0;0;0
fryc;;"The name fryc, plural fryce (after 'Fritz', short for Friedrich/Frederick), widely considered as typically German, is sometimes used as a noun for Germans.";pol;0;1;0;0;0;0;0;0
fryce;fryc;"The name fryc, plural fryce (after 'Fritz', short for Friedrich/Frederick), widely considered as typically German, is sometimes used as a noun for Germans.";pol;0;1;0;0;0;0;0;0
fuzzy;;"A black person.";eng;1;0;0;0;0;0;0;0
"fuzzy wuzzy";;"Colonialist term used to refer to the Hadendoa warriors in the 19th Century.";eng;1;0;0;0;0;0;0;1
gabacho;;"[1] Chicano pejorative term for an English-speaking, non-Hispanic. [2] Spanish term for a foreigner, particularly a person of French ancestry.";spa;1;1;0;0;0;0;0;0
gable;;"A black person.";eng;1;0;0;0;0;0;0;0
gaijin;;"A non-Japanese person. Shortened form of 'Gaikokujin' (person from another country).";jpn;1;1;0;0;0;0;0;0
gaiko;gaijin;"A non-Japanese person. Shortened form of 'Gaikokujin' (person from another country).";jpn;1;1;0;0;0;0;0;0
"gator bait";"alligator bait";"A black person, especially a black child. More commonly used in states where alligators are found, particularly Florida. First used in the early 20th century, although some hypothesize the term originated in the late 19th century.";eng;1;0;0;0;0;0;0;0
Gaurkh;;"Derogatory term for Nepali servants.";nep;1;1;0;0;0;0;0;0
geitenneuker;;"Muslim, literally 'goat-fucker'.";nld;0;0;1;0;0;0;0;0
"gender bender";;"Pejorative term for sexually ambiguous individual";eng;0;0;0;1;1;0;0;0
Gerudo;;"A Muslim female. Probably formed from the name of the Gerudo people, a fantasy race created in the Legend of Zelda series.";eng;0;0;1;0;0;0;0;0
gew;;"A German Jew.";eng;1;1;1;0;0;0;0;0
ghetto;;"Used to describe urban blacks.";eng;1;0;0;0;0;0;0;0
"ghetto hamster";;"A black child.";eng;1;0;0;0;0;0;0;0
ghost;;"A Caucasian";eng;1;0;0;0;0;0;0;0
"giaour ";;"A non-Muslim, especially a Christian.";tur;0;0;1;0;0;0;0;0
gin;;"In Australia, an Aboriginal woman.";eng;1;0;0;0;0;0;0;0
"gin jockey";;"In Australia, a white person having casual sex with an Aboriginal woman. Pejorative.";eng;1;0;0;0;0;0;0;0
ginger;;"Person with red hair";eng;1;0;0;0;0;0;0;0
ginzo;guinea;"A person of Italian birth or descent. Most likely derived from 'Guinea Negro,' implying that Italians are dark or swarthy-skinned like the natives of Guinea. The diminutive 'Ginzo' probably dates back to World War II and is derived from Australian slang picked up by US servicemen in the Pacific Theater.";eng;1;1;0;0;0;0;0;0
gipp;gyppo;"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.";eng;1;0;0;0;0;0;0;0
gippo;gyppo;"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.";eng;1;0;0;0;0;0;0;0
Glatze;;"[1] a bald head [2] a right wing extremist with shaved head";deu;0;0;0;0;0;0;0;0
gokiburi;;"A Korean, from 'cockroach'.";jpn;1;1;0;0;0;0;0;0
golliwog;;"Originally a children's literary character and type of black doll, but eventually came to be used as a slur against people with dark skin, most commonly Afro-Caribbeans.";eng;1;0;0;0;0;0;0;0
goober;;"A rural person or resident of a small town.";eng;0;0;0;0;0;0;0;1
gook;;"An Asian, especially an enemy soldier of Asian descent. Its use as an ethnic slur has been traced to US Marines serving in the Philippines in the early 20th century. The earliest recorded example is dated 1920. It gained widespread notice as a result of the Korean and Vietnam wars.";eng;1;0;0;0;0;0;0;0
"gook eye";gook;"An Asian, especially an enemy soldier of Asian descent. Its use as an ethnic slur has been traced to US Marines serving in the Philippines in the early 20th century. The earliest recorded example is dated 1920. It gained widespread notice as a result of the Korean and Vietnam wars.";eng;1;0;0;0;0;0;0;0
gooky;gook;"An Asian, especially an enemy soldier of Asian descent. Its use as an ethnic slur has been traced to US Marines serving in the Philippines in the early 20th century. The earliest recorded example is dated 1920. It gained widespread notice as a result of the Korean and Vietnam wars.";eng;1;0;0;0;0;0;0;0
goomba;goombah;"Considered a slur when used by non-Italians to describe an Italian.";ita;1;1;0;0;0;0;0;0
goombah;;"Considered a slur when used by non-Italians to describe an Italian.";ita;1;1;0;0;0;0;0;0
gora;;"A Caucasian";urd;1;0;0;0;0;0;0;0
goy;;"A Hebrew biblical term for 'Nation' or 'People'. By Roman times it had also acquired the meaning of 'non-Jew'. In English, usage may be controversial, it can be assigned pejoratively to non-Jews.";heb;1;0;1;0;0;0;0;0
goyim;goy;"A Hebrew biblical term for 'Nation' or 'People'. By Roman times it had also acquired the meaning of 'non-Jew'. In English, usage may be controversial, it can be assigned pejoratively to non-Jews.";heb;1;0;1;0;0;0;0;0
goyum;goy;"A Hebrew biblical term for 'Nation' or 'People'. By Roman times it had also acquired the meaning of 'non-Jew'. In English, usage may be controversial, it can be assigned pejoratively to non-Jews.";heb;1;0;1;0;0;0;0;0
greaseball;;"A person of Italian descent. It can also refer to any person of Mediterranean / Southern European descent or Hispanic descent.";eng;1;1;0;0;0;0;0;0
greaser;greaseball;"A person of Italian descent. It can also refer to any person of Mediterranean / Southern European descent or Hispanic descent.";eng;1;1;0;0;0;0;0;0
gringa;gringo;"A foreigner; especially used disparagingly against North Americans and North Europeans in Latin America. (Likely from the Spanish word 'griego', meaning Greek. The use of the term Greek for something foreign or unintelligible is also seen in the similar expression 'it's Greek to me'.) The term lends itself to derogatory or paternalistic connotations, but in most of the contexts it may not be meant pejoratively.";spa;1;0;0;0;0;0;0;0
gringo;;"A foreigner; especially used disparagingly against North Americans and North Europeans in Latin America. (Likely from the Spanish word 'griego', meaning Greek. The use of the term Greek for something foreign or unintelligible is also seen in the similar expression 'it's Greek to me'.) The term lends itself to derogatory or paternalistic connotations, but in most of the contexts it may not be meant pejoratively.";spa;1;0;0;0;0;0;0;0
groid;;"A black person. Derived from 'negroid'.";eng;1;0;0;0;0;0;0;0
"guajiro ";;"A peasant or rural person, particularly from Cuba.";spa;0;1;0;0;0;0;1;0
guala;;"A person who's overt about his/her Hispanic descent, particularly a Dominican";eng;1;1;0;0;0;0;0;0
"guala guala";guala;"A person who's overt about his/her Hispanic descent, particularly a Dominican";eng;1;1;0;0;0;0;0;0
gub;;"In Australia, Aboriginal pejorative term for white people.";eng;1;0;0;0;0;0;0;0
gubba;gub;"In Australia, Aboriginal pejorative term for white people.";eng;1;0;0;0;0;0;0;0
guera;guero;"A word used in Mexico to denote a person of fair complexion or with blond or red hair";spa;0;0;0;0;0;0;0;0
guero;;"A word used in Mexico to denote a person of fair complexion or with blond or red hair";spa;0;0;0;0;0;0;0;0
guerro;guero;"A word used in Mexico to denote a person of fair complexion or with blond or red hair";spa;0;0;0;0;0;0;0;0
guido;;"An Italian-American male. Derives from the Italian given name, Guido. Used mostly in the Northeastern United States as a stereotype for working-class urban Italian-Americans.";eng;1;1;0;0;0;0;0;0
guinea;;"A person of Italian birth or descent. Most likely derived from 'Guinea Negro,' implying that Italians are dark or swarthy-skinned like the natives of Guinea. The diminutive 'Ginzo' probably dates back to World War II and is derived from Australian slang picked up by US servicemen in the Pacific Theater.";eng;1;1;0;0;0;0;0;0
guizi;;"Pejorative term used in Mainland China and Taiwan to denote foreigners, especially millitary enemies, such as riben guizi (Japanese devils, because of Second Sino-Japanese War) and meiguo guizi (American devils, because of Korean War).";zho;1;0;0;0;0;0;0;0
gummihals;;"Swiss German for 'rubber-neck.' Perhaps based on the stereotype of Germans talking too much or nodding their heads endlessly when listening to superiors.";gsw;0;1;0;0;0;0;0;0
"gun burglar";"gin jockey";"In Australia, a white person having casual sex with an Aboriginal woman. Pejorative.";eng;1;0;0;0;0;0;0;0
gurrier;;"In Ireland, a disreputable or delinquent person";eng;0;0;0;0;0;0;1;0
gwailo;gweilo;"Pejorative term used in south of Mainland China and Hong Kong to denote a white man. Loosely translated as 'foreign devil;' more literally, might be 'ghost dude/bloke/guy/etc.' Gwei means 'ghost.' The color white is associated with ghosts in China. A lo is a regular guy (i.e. a fellow, a chap, or a bloke). Once a mark of xenophobia, the word is now in general, informal use but still considered derogatory.";zho;1;0;0;0;0;0;0;0
Gwat;;"Short for Guatemalan.";eng;0;1;0;0;0;0;0;0
gweilo;;"Pejorative term used in south of Mainland China and Hong Kong to denote a white man. Loosely translated as 'foreign devil;' more literally, might be 'ghost dude/bloke/guy/etc.' Gwei means 'ghost.' The color white is associated with ghosts in China. A lo is a regular guy (i.e. a fellow, a chap, or a bloke). Once a mark of xenophobia, the word is now in general, informal use but still considered derogatory.";zho;1;0;0;0;0;0;0;0
gyp;gyppo;"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.";eng;1;0;0;0;0;0;0;0
gypo;gyppo;"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.";eng;1;0;0;0;0;0;0;0
gyppie;gyppo;"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.";eng;1;0;0;0;0;0;0;0
gyppo;;"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.";eng;1;0;0;0;0;0;0;0
gyppy;gyppo;"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.";eng;1;0;0;0;0;0;0;0
haatmeneer;;"Muslim, typically Moroccan. Originally referred to one person, later generalised.";nld;1;0;1;0;0;0;0;0
hadji;haji;"Used to refer to Iraqis, Arabs, Afghans, or Middle Eastern and South Asian people in general. Derived from the honorific Al-Hajji, the title given to a Muslim who has completed the Hajj (pilgrimage to Mecca).";ara;1;0;0;0;0;0;0;0
hagwei;;"A black person, from the Chinese for 'black devil' or 'demon.'";zho;1;0;0;0;0;0;0;0
hairyback;;"A derogatory term for Afrikaners";eng;1;0;0;0;0;0;0;0
haji;;"Used to refer to Iraqis, Arabs, Afghans, or Middle Eastern and South Asian people in general. Derived from the honorific Al-Hajji, the title given to a Muslim who has completed the Hajj (pilgrimage to Mecca).";ara;1;0;0;0;0;0;0;0
hajji;haji;"Used to refer to Iraqis, Arabs, Afghans, or Middle Eastern and South Asian people in general. Derived from the honorific Al-Hajji, the title given to a Muslim who has completed the Hajj (pilgrimage to Mecca).";ara;1;0;0;0;0;0;0;0
"half breed";;"One who is of mixed race.";eng;1;0;0;0;0;0;0;0
halfrican;;"Denotes a person that is half African.";eng;1;0;0;0;0;0;0;0
hamba;hambaya;"In Sri Lanka, a pejorative term for a Muslim.";sin;0;0;1;0;0;0;0;0
hambaya;;"In Sri Lanka, a pejorative term for a Muslim.";sin;0;0;1;0;0;0;0;0
"han nichi";;"Enemy of Japan";jpn;1;1;0;0;0;0;0;0
Hans;;"Used for any Germanic people, including the Dutch and Flemish.";tur;0;1;0;0;0;0;0;0
haole;;"A non-native, used by Hawaiians mainly to refer to whites (less commonly to refer to non-Hawaiians). Can be used neutrally, dependent on context.";haw;1;0;0;0;0;0;0;0
hapankaali;;"A person of German descent, from sauerkraut.";fin;0;1;0;0;0;0;0;0
hapshi;;"A black person, originating from slavery in ancient India.";;0;0;0;0;0;0;0;0
hayquay;hagwei;"A black person, from the Chinese for 'black devil' or 'demon.'";zho;1;0;0;0;0;0;0;0
hayseed;;"A rural person.";eng;0;0;0;0;0;0;1;0
hebe;;"A Jewish person, derived from the word 'Hebrew'.";eng;1;0;1;0;0;0;0;0
hebro;;"A black Jew, from the combination of Hebrew and 'bro'.";eng;1;0;1;0;0;0;0;0
heeb;hebe;"A Jewish person, derived from the word 'Hebrew'.";eng;1;0;1;0;0;0;0;0
heinie;;"A person of German descent.";eng;0;1;0;0;0;0;0;0
Helga;;"Helga from German name Helga. It is a term to describe a German woman, usually tall, blue-eyed, blond and strongly built, which are considered typical physical features of German women. It also implies the negative opinion about this kind of look.";pol;0;1;0;0;0;0;0;0
hick;;"A rural person.";eng;0;0;0;0;0;0;1;0
higger;;"A Hindu person with preceived black mannerisms.";eng;1;0;1;0;0;0;0;0
hillbilly;;"A rural person, particularly Americans of Appalachia or Ozark heritage.";eng;0;0;0;0;0;0;0;1
Hitomodoki;;"Pseudo-human, a term often used to refer to Korean and/or Chinese people";jpn;1;1;0;0;0;0;0;0
ho;;"[1] A woman, from 'whore'. [2] A prostitute.";eng;0;0;0;1;0;0;0;0
hoe;ho;"[1] A woman, from 'whore'. [2] A prostitute.";eng;0;0;0;1;0;0;0;0
homppeli;;homosexual;fin;0;0;0;0;1;0;0;0
honkey;honky;"A white person. Derived from an African-American pronunciation of 'hunky', the disparaging term for a Hungarian laborer. The first record of its use as an insulting term for a white person dates from the 1950s.";eng;1;0;0;0;0;0;0;0
honkie;honky;"A white person. Derived from an African-American pronunciation of 'hunky', the disparaging term for a Hungarian laborer. The first record of its use as an insulting term for a white person dates from the 1950s.";eng;1;0;0;0;0;0;0;0
honky;;"A white person. Derived from an African-American pronunciation of 'hunky', the disparaging term for a Hungarian laborer. The first record of its use as an insulting term for a white person dates from the 1950s.";eng;1;0;0;0;0;0;0;0
Honyak;Hunyak;"A Hungarian-Polish person.";eng;0;1;0;0;0;0;0;0
Honyock;Hunyak;"A Hungarian-Polish person.";eng;0;1;0;0;0;0;0;0
hoosier;;"A rural or unsophisticated person";eng;0;0;0;0;0;0;1;0
hoser;;"In Canada, an unsophisticated person, Back when Hockey was played on frozen ponds and lakes the losers of the hockey game would have to hose the lakes to become clean, smooth ice.  Calling someone a “hoser” is really just calling them a loser.  From the practice of stealing gas with a hose and siphon.";eng;0;1;0;0;0;0;1;0
"house nigger";;"As with Uncle Tom, a reference to a black person who is subservient to whites.";eng;1;0;0;0;0;0;0;0
Hun;;"[1] A German, especially a German soldier; popular during World War I. Derived from a speech given by Kaiser Wilhelm of Germany to the German contingent sent to China during the Boxer Rebellion in which he exhorted them to 'be like Huns' (i.e., savage and ruthless) to their Chinese enemy. [2] A Protestant in Northern Ireland. [3] A member of the British military in Ireland ('Britannia's huns').";eng;0;1;1;0;0;0;0;1
